,instant,dteday,season,year,month,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr
224,225,2011-08-13,Fall,2011,Aug,0,Saturday,Misty,0.685833,0.645858,729582.9999999999,0.211454,1504,2646,4150
225,226,2011-08-14,Fall,2011,Aug,0,Sunday,Misty,0.676667,0.624388,817500.0,0.222633,1338,2482,3820
226,227,2011-08-15,Fall,2011,Aug,0,Monday,Clear,0.665833,0.616167,712083.0000000001,0.208954,775,3563,4338
227,228,2011-08-16,Fall,2011,Aug,0,Tuesday,Clear,0.700833,0.645837,578333.0,0.236329,721,4004,4725
228,229,2011-08-17,Fall,2011,Aug,0,Wednesday,Clear,0.723333,0.666671,575417.0,0.143667,668,4026,4694
229,230,2011-08-18,Fall,2011,Aug,0,Thursday,Clear,0.711667,0.662258,654583.0000000001,0.233208,639,3166,3805
230,231,2011-08-19,Fall,2011,Aug,0,Friday,Misty,0.685,0.633221,722917.0000000001,0.139308,797,3356,4153
231,232,2011-08-20,Fall,2011,Aug,0,Saturday,Clear,0.6975,0.648996,674166.9999999999,0.104467,1914,3277,5191
232,233,2011-08-21,Fall,2011,Aug,0,Sunday,Clear,0.710833,0.675525,770000.0,0.248754,1249,2624,3873
233,234,2011-08-22,Fall,2011,Aug,0,Monday,Clear,0.691667,0.638254,470000.0,0.27675,833,3925,4758
234,235,2011-08-23,Fall,2011,Aug,0,Tuesday,Clear,0.640833,0.606067,455417.0,0.146763,1281,4614,5895
235,236,2011-08-24,Fall,2011,Aug,0,Wednesday,Clear,0.673333,0.630692,605000.0,0.253108,949,4181,5130
236,237,2011-08-25,Fall,2011,Aug,0,Thursday,Misty,0.684167,0.645854,771667.0000000001,0.210833,435,3107,3542
237,238,2011-08-26,Fall,2011,Aug,0,Friday,Clear,0.7,0.659733,761250.0,0.0839625,768,3893,4661
238,239,2011-08-27,Fall,2011,Aug,0,Saturday,Misty,0.68,0.635556,850000.0,0.375617,226,889,1115
239,240,2011-08-28,Fall,2011,Aug,0,Sunday,Clear,0.707059,0.647959,561765.0,0.304659,1415,2919,4334
240,241,2011-08-29,Fall,2011,Aug,0,Monday,Clear,0.636667,0.607958,554583.0000000001,0.159825,729,3905,4634
241,242,2011-08-30,Fall,2011,Aug,0,Tuesday,Clear,0.639167,0.594704,548332.9999999999,0.125008,775,4429,5204
242,243,2011-08-31,Fall,2011,Aug,0,Wednesday,Clear,0.656667,0.611121,597917.0000000001,0.0833333,688,4370,5058
243,244,2011-09-01,Fall,2011,Sep,0,Thursday,Clear,0.655,0.614921,639167.0000000001,0.141796,783,4332,5115
244,245,2011-09-02,Fall,2011,Sep,0,Friday,Misty,0.643333,0.604808,727083.0000000001,0.139929,875,3852,4727
245,246,2011-09-03,Fall,2011,Sep,0,Saturday,Clear,0.669167,0.633213,716667.0000000001,0.185325,1935,2549,4484
246,247,2011-09-04,Fall,2011,Sep,0,Sunday,Clear,0.709167,0.665429,742083.0000000001,0.206467,2521,2419,4940
247,248,2011-09-05,Fall,2011,Sep,1,Monday,Misty,0.673333,0.625646,790417.0000000001,0.212696,1236,2115,3351
248,249,2011-09-06,Fall,2011,Sep,0,Tuesday,Light_rainsnow,0.54,0.5152,886957.0,0.343943,204,2506,2710
249,250,2011-09-07,Fall,2011,Sep,0,Wednesday,Light_rainsnow,0.599167,0.544229,917083.0,0.0970208,118,1878,1996
250,251,2011-09-08,Fall,2011,Sep,0,Thursday,Light_rainsnow,0.633913,0.555361,939565.0000000001,0.192748,153,1689,1842
251,252,2011-09-09,Fall,2011,Sep,0,Friday,Misty,0.65,0.578946,897916.9999999998,0.124379,417,3127,3544
252,253,2011-09-10,Fall,2011,Sep,0,Saturday,Clear,0.66,0.607962,753750.0,0.153608,1750,3595,5345
253,254,2011-09-11,Fall,2011,Sep,0,Sunday,Clear,0.653333,0.609229,713750.0,0.115054,1633,3413,5046
254,255,2011-09-12,Fall,2011,Sep,0,Monday,Clear,0.644348,0.60213,692174.0,0.088913,690,4023,4713
255,256,2011-09-13,Fall,2011,Sep,0,Tuesday,Clear,0.650833,0.603554,712500.0,0.141804,701,4062,4763
256,257,2011-09-14,Fall,2011,Sep,0,Wednesday,Clear,0.673333,0.6269,697082.9999999999,0.1673,647,4138,4785
257,258,2011-09-15,Fall,2011,Sep,0,Thursday,Misty,0.5775,0.553671,709167.0000000001,0.271146,428,3231,3659
258,259,2011-09-16,Fall,2011,Sep,0,Friday,Misty,0.469167,0.461475,590417.0,0.164183,742,4018,4760
259,260,2011-09-17,Fall,2011,Sep,0,Saturday,Misty,0.491667,0.478512,718332.9999999999,0.189675,1434,3077,4511
260,261,2011-09-18,Fall,2011,Sep,0,Sunday,Clear,0.5075,0.490537,695000.0,0.178483,1353,2921,4274
261,262,2011-09-19,Fall,2011,Sep,0,Monday,Misty,0.549167,0.529675,690000.0,0.151742,691,3848,4539
262,263,2011-09-20,Fall,2011,Sep,0,Tuesday,Misty,0.561667,0.532217,881250.0,0.134954,438,3203,3641
263,264,2011-09-21,Fall,2011,Sep,0,Wednesday,Misty,0.595,0.550533,900000.0,0.0964042,539,3813,4352
264,265,2011-09-22,Fall,2011,Sep,0,Thursday,Misty,0.628333,0.554963,902083.0,0.128125,555,4240,4795
265,266,2011-09-23,Winter,2011,Sep,0,Friday,Misty,0.609167,0.522125,972500.0,0.0783667,258,2137,2395
266,267,2011-09-24,Winter,2011,Sep,0,Saturday,Misty,0.606667,0.564412,862500.0,0.0783833,1776,3647,5423
267,268,2011-09-25,Winter,2011,Sep,0,Sunday,Misty,0.634167,0.572637,845000.0,0.0503792,1544,3466,5010
268,269,2011-09-26,Winter,2011,Sep,0,Monday,Misty,0.649167,0.589042,848333.0,0.1107,684,3946,4630
269,270,2011-09-27,Winter,2011,Sep,0,Tuesday,Misty,0.636667,0.574525,885417.0,0.118171,477,3643,4120
270,271,2011-09-28,Winter,2011,Sep,0,Wednesday,Misty,0.635,0.575158,848750.0,0.148629,480,3427,3907
271,272,2011-09-29,Winter,2011,Sep,0,Thursday,Clear,0.616667,0.574512,699166.9999999999,0.172883,653,4186,4839
272,273,2011-09-30,Winter,2011,Sep,0,Friday,Clear,0.564167,0.544829,647500.0,0.206475,830,4372,5202
273,274,2011-10-01,Winter,2011,Oct,0,Saturday,Misty,0.41,0.412863,753750.0,0.292296,480,1949,2429
274,275,2011-10-02,Winter,2011,Oct,0,Sunday,Misty,0.356667,0.345317,791667.0000000001,0.222013,616,2302,2918
275,276,2011-10-03,Winter,2011,Oct,0,Monday,Misty,0.384167,0.392046,760832.9999999999,0.0833458,330,3240,3570
276,277,2011-10-04,Winter,2011,Oct,0,Tuesday,Clear,0.484167,0.472858,710000.0,0.205854,486,3970,4456
277,278,2011-10-05,Winter,2011,Oct,0,Wednesday,Clear,0.538333,0.527138,647916.9999999999,0.17725,559,4267,4826
278,279,2011-10-06,Winter,2011,Oct,0,Thursday,Clear,0.494167,0.480425,620832.9999999999,0.134954,639,4126,4765
279,280,2011-10-07,Winter,2011,Oct,0,Friday,Clear,0.510833,0.504404,684166.9999999999,0.0223917,949,4036,4985
280,281,2011-10-08,Winter,2011,Oct,0,Saturday,Clear,0.521667,0.513242,701250.0,0.0454042,2235,3174,5409
281,282,2011-10-09,Winter,2011,Oct,0,Sunday,Clear,0.540833,0.523983,727500.0,0.06345,2397,3114,5511
282,283,2011-10-10,Winter,2011,Oct,1,Monday,Clear,0.570833,0.542925,733750.0,0.0423042,1514,3603,5117
283,284,2011-10-11,Winter,2011,Oct,0,Tuesday,Misty,0.566667,0.546096,808750.0,0.143042,667,3896,4563
284,285,2011-10-12,Winter,2011,Oct,0,Wednesday,Light_rainsnow,0.543333,0.517717,906250.0,0.24815,217,2199,2416
285,286,2011-10-13,Winter,2011,Oct,0,Thursday,Misty,0.589167,0.551804,896667.0,0.141787,290,2623,2913
286,287,2011-10-14,Winter,2011,Oct,0,Friday,Misty,0.550833,0.529675,716250.0,0.223883,529,3115,3644
287,288,2011-10-15,Winter,2011,Oct,0,Saturday,Clear,0.506667,0.498725,483333.0,0.258083,1899,3318,5217
288,289,2011-10-16,Winter,2011,Oct,0,Sunday,Clear,0.511667,0.503154,486667.0,0.281717,1748,3293,5041
289,290,2011-10-17,Winter,2011,Oct,0,Monday,Clear,0.534167,0.510725,579582.9999999999,0.175379,713,3857,4570
290,291,2011-10-18,Winter,2011,Oct,0,Tuesday,Misty,0.5325,0.522721,701667.0000000001,0.110087,637,4111,4748
291,292,2011-10-19,Winter,2011,Oct,0,Wednesday,Light_rainsnow,0.541739,0.513848,895217.0000000002,0.243339,254,2170,2424
292,293,2011-10-20,Winter,2011,Oct,0,Thursday,Clear,0.475833,0.466525,636250.0,0.422275,471,3724,4195
293,294,2011-10-21,Winter,2011,Oct,0,Friday,Clear,0.4275,0.423596,574167.0,0.221396,676,3628,4304
294,295,2011-10-22,Winter,2011,Oct,0,Saturday,Clear,0.4225,0.425492,629167.0000000001,0.0926667,1499,2809,4308
295,296,2011-10-23,Winter,2011,Oct,0,Sunday,Clear,0.421667,0.422333,741250.0,0.0995125,1619,2762,4381
296,297,2011-10-24,Winter,2011,Oct,0,Monday,Clear,0.463333,0.457067,772082.9999999999,0.118792,699,3488,4187
297,298,2011-10-25,Winter,2011,Oct,0,Tuesday,Clear,0.471667,0.463375,622917.0000000001,0.166658,695,3992,4687
298,299,2011-10-26,Winter,2011,Oct,0,Wednesday,Misty,0.484167,0.472846,720416.9999999999,0.148642,404,3490,3894
299,300,2011-10-27,Winter,2011,Oct,0,Thursday,Misty,0.47,0.457046,812917.0000000001,0.197763,240,2419,2659
300,301,2011-10-28,Winter,2011,Oct,0,Friday,Misty,0.330833,0.318812,585833.0000000001,0.229479,456,3291,3747
301,302,2011-10-29,Winter,2011,Oct,0,Saturday,Light_rainsnow,0.254167,0.227913,882500.0,0.351371,57,570,627
302,303,2011-10-30,Winter,2011,Oct,0,Sunday,Clear,0.319167,0.321329,623750.0,0.176617,885,2446,3331
303,304,2011-10-31,Winter,2011,Oct,0,Monday,Clear,0.34,0.356063,703332.9999999999,0.10635,362,3307,3669
304,305,2011-11-01,Winter,2011,Nov,0,Tuesday,Clear,0.400833,0.397088,683750.0,0.135571,410,3658,4068
305,306,2011-11-02,Winter,2011,Nov,0,Wednesday,Clear,0.3775,0.390133,718750.0,0.0820917,370,3816,4186
306,307,2011-11-03,Winter,2011,Nov,0,Thursday,Clear,0.408333,0.405921,702083.0000000001,0.136817,318,3656,3974
307,308,2011-11-04,Winter,2011,Nov,0,Friday,Misty,0.403333,0.403392,622500.0000000001,0.271779,470,3576,4046
308,309,2011-11-05,Winter,2011,Nov,0,Saturday,Clear,0.326667,0.323854,519167.0000000001,0.189062,1156,2770,3926
309,310,2011-11-06,Winter,2011,Nov,0,Sunday,Clear,0.348333,0.362358,734582.9999999999,0.0920542,952,2697,3649
310,311,2011-11-07,Winter,2011,Nov,0,Monday,Clear,0.395,0.400871,758750.0,0.057225,373,3662,4035
311,312,2011-11-08,Winter,2011,Nov,0,Tuesday,Clear,0.408333,0.412246,721666.9999999999,0.0690375,376,3829,4205
312,313,2011-11-09,Winter,2011,Nov,0,Wednesday,Clear,0.4,0.409079,758333.0000000001,0.0621958,305,3804,4109
313,314,2011-11-10,Winter,2011,Nov,0,Thursday,Misty,0.38,0.373721,813332.9999999999,0.189067,190,2743,2933
314,315,2011-11-11,Winter,2011,Nov,1,Friday,Clear,0.324167,0.306817,446250.0,0.314675,440,2928,3368
315,316,2011-11-12,Winter,2011,Nov,0,Saturday,Clear,0.356667,0.357942,552917.0,0.212062,1275,2792,4067
316,317,2011-11-13,Winter,2011,Nov,0,Sunday,Clear,0.440833,0.43055,458333.0,0.281721,1004,2713,3717
317,318,2011-11-14,Winter,2011,Nov,0,Monday,Clear,0.53,0.524612,587083.0,0.306596,595,3891,4486
318,319,2011-11-15,Winter,2011,Nov,0,Tuesday,Misty,0.53,0.507579,688750.0,0.199633,449,3746,4195
319,320,2011-11-16,Winter,2011,Nov,0,Wednesday,Light_rainsnow,0.456667,0.451988,930000.0,0.136829,145,1672,1817
320,321,2011-11-17,Winter,2011,Nov,0,Thursday,Misty,0.341667,0.323221,575833.0,0.305362,139,2914,3053
321,322,2011-11-18,Winter,2011,Nov,0,Friday,Clear,0.274167,0.272721,410000.0,0.168533,245,3147,3392
322,323,2011-11-19,Winter,2011,Nov,0,Saturday,Clear,0.329167,0.324483,502082.9999999999,0.224496,943,2720,3663
323,324,2011-11-20,Winter,2011,Nov,0,Sunday,Misty,0.463333,0.457058,684583.0000000001,0.18595,787,2733,3520
324,325,2011-11-21,Winter,2011,Nov,0,Monday,Light_rainsnow,0.4475,0.445062,910000.0,0.138054,220,2545,2765
325,326,2011-11-22,Winter,2011,Nov,0,Tuesday,Light_rainsnow,0.416667,0.421696,962500.0,0.118792,69,1538,1607
326,327,2011-11-23,Winter,2011,Nov,0,Wednesday,Misty,0.440833,0.430537,757916.9999999999,0.335825,112,2454,2566
327,328,2011-11-24,Winter,2011,Nov,1,Thursday,Clear,0.373333,0.372471,549167.0,0.167304,560,935,1495
328,329,2011-11-25,Winter,2011,Nov,0,Friday,Clear,0.375,0.380671,643750.0,0.0988958,1095,1697,2792
329,330,2011-11-26,Winter,2011,Nov,0,Saturday,Clear,0.375833,0.385087,681667.0000000001,0.0684208,1249,1819,3068
330,331,2011-11-27,Winter,2011,Nov,0,Sunday,Clear,0.459167,0.4558,698332.9999999999,0.208954,810,2261,3071
331,332,2011-11-28,Winter,2011,Nov,0,Monday,Clear,0.503478,0.490122,743042.9999999999,0.142122,253,3614,3867
332,333,2011-11-29,Winter,2011,Nov,0,Tuesday,Misty,0.458333,0.451375,830833.0000000002,0.258092,96,2818,2914
333,334,2011-11-30,Winter,2011,Nov,0,Wednesday,Clear,0.325,0.311221,613333.0,0.271158,188,3425,3613
334,335,2011-12-01,Winter,2011,Dec,0,Thursday,Clear,0.3125,0.305554,524583.0,0.220158,182,3545,3727
335,336,2011-12-02,Winter,2011,Dec,0,Friday,Clear,0.314167,0.331433,625832.9999999999,0.100754,268,3672,3940
336,337,2011-12-03,Winter,2011,Dec,0,Saturday,Clear,0.299167,0.310604,612917.0000000001,0.0957833,706,2908,3614
337,338,2011-12-04,Winter,2011,Dec,0,Sunday,Clear,0.330833,0.3491,775832.9999999999,0.0839583,634,2851,3485
338,339,2011-12-05,Winter,2011,Dec,0,Monday,Misty,0.385833,0.393925,827083.0000000002,0.0622083,233,3578,3811
339,340,2011-12-06,Winter,2011,Dec,0,Tuesday,Light_rainsnow,0.4625,0.4564,949583.0,0.232583,126,2468,2594
340,341,2011-12-07,Winter,2011,Dec,0,Wednesday,Light_rainsnow,0.41,0.400246,970416.9999999998,0.266175,50,655,705
341,342,2011-12-08,Winter,2011,Dec,0,Thursday,Clear,0.265833,0.256938,579999.9999999999,0.240058,150,3172,3322
342,343,2011-12-09,Winter,2011,Dec,0,Friday,Clear,0.290833,0.317542,695833.0000000001,0.0827167,261,3359,3620
343,344,2011-12-10,Winter,2011,Dec,0,Saturday,Clear,0.275,0.266412,507499.9999999999,0.233221,502,2688,3190
344,345,2011-12-11,Winter,2011,Dec,0,Sunday,Clear,0.220833,0.253154,490000.0,0.0665417,377,2366,2743
345,346,2011-12-12,Winter,2011,Dec,0,Monday,Clear,0.238333,0.270196,670833.0000000001,0.06345,143,3167,3310
346,347,2011-12-13,Winter,2011,Dec,0,Tuesday,Clear,0.2825,0.301138,590000.0,0.14055,155,3368,3523
347,348,2011-12-14,Winter,2011,Dec,0,Wednesday,Misty,0.3175,0.338362,663750.0,0.0609583,178,3562,3740
348,349,2011-12-15,Winter,2011,Dec,0,Thursday,Misty,0.4225,0.412237,634167.0000000001,0.268042,181,3528,3709
349,350,2011-12-16,Winter,2011,Dec,0,Friday,Misty,0.375,0.359825,500417.0,0.260575,178,3399,3577
350,351,2011-12-17,Winter,2011,Dec,0,Saturday,Misty,0.258333,0.249371,560833.0,0.243167,275,2464,2739
351,352,2011-12-18,Winter,2011,Dec,0,Sunday,Clear,0.238333,0.245579,586250.0000000001,0.169779,220,2211,2431
352,353,2011-12-19,Winter,2011,Dec,0,Monday,Clear,0.276667,0.280933,637499.9999999999,0.172896,260,3143,3403
353,354,2011-12-20,Winter,2011,Dec,0,Tuesday,Misty,0.385833,0.396454,595417.0,0.0615708,216,3534,3750
354,355,2011-12-21,Spring,2011,Dec,0,Wednesday,Misty,0.428333,0.428017,858333.0000000002,0.2214,107,2553,2660
355,356,2011-12-22,Spring,2011,Dec,0,Thursday,Misty,0.423333,0.426121,757500.0,0.047275,227,2841,3068
356,357,2011-12-23,Spring,2011,Dec,0,Friday,Clear,0.373333,0.377513,686250.0,0.274246,163,2046,2209
357,358,2011-12-24,Spring,2011,Dec,0,Saturday,Clear,0.3025,0.299242,542500.0,0.190304,155,856,1011
358,359,2011-12-25,Spring,2011,Dec,0,Sunday,Clear,0.274783,0.279961,681304.0000000001,0.155091,303,451,754
359,360,2011-12-26,Spring,2011,Dec,1,Monday,Clear,0.321739,0.315535,506957.00000000006,0.239465,430,887,1317
360,361,2011-12-27,Spring,2011,Dec,0,Tuesday,Misty,0.325,0.327633,762500.0,0.18845,103,1059,1162
361,362,2011-12-28,Spring,2011,Dec,0,Wednesday,Clear,0.29913,0.279974,503913.0000000001,0.293961,255,2047,2302
362,363,2011-12-29,Spring,2011,Dec,0,Thursday,Clear,0.248333,0.263892,574167.0,0.119412,254,2169,2423
363,364,2011-12-30,Spring,2011,Dec,0,Friday,Clear,0.311667,0.318812,636667.0,0.134337,491,2508,2999
364,365,2011-12-31,Spring,2011,Dec,0,Saturday,Clear,0.41,0.414121,615832.9999999999,0.220154,665,1820,2485
365,366,2012-01-01,Spring,2012,Jan,0,Sunday,Clear,0.37,0.375621,692500.0,0.192167,686,1608,2294
366,367,2012-01-02,Spring,2012,Jan,1,Monday,Clear,0.273043,0.252304,381303.99999999994,0.329665,244,1707,1951
367,368,2012-01-03,Spring,2012,Jan,0,Tuesday,Clear,0.15,0.126275,441250.0,0.365671,89,2147,2236
368,369,2012-01-04,Spring,2012,Jan,0,Wednesday,Misty,0.1075,0.119337,414583.0,0.1847,95,2273,2368
369,370,2012-01-05,Spring,2012,Jan,0,Thursday,Clear,0.265833,0.278412,524167.0000000001,0.129987,140,3132,3272
370,371,2012-01-06,Spring,2012,Jan,0,Friday,Clear,0.334167,0.340267,542083.0,0.167908,307,3791,4098
371,372,2012-01-07,Spring,2012,Jan,0,Saturday,Clear,0.393333,0.390779,531667.0,0.174758,1070,3451,4521
372,373,2012-01-08,Spring,2012,Jan,0,Sunday,Clear,0.3375,0.340258,465000.0,0.191542,599,2826,3425
373,374,2012-01-09,Spring,2012,Jan,0,Monday,Misty,0.224167,0.247479,701667.0000000001,0.0989,106,2270,2376
374,375,2012-01-10,Spring,2012,Jan,0,Tuesday,Clear,0.308696,0.318826,646522.0000000001,0.187552,173,3425,3598
375,376,2012-01-11,Spring,2012,Jan,0,Wednesday,Misty,0.274167,0.282821,847500.0,0.131221,92,2085,2177
376,377,2012-01-12,Spring,2012,Jan,0,Thursday,Misty,0.3825,0.381938,802917.0000000001,0.180967,269,3828,4097
377,378,2012-01-13,Spring,2012,Jan,0,Friday,Clear,0.274167,0.249362,507499.9999999999,0.378108,174,3040,3214
378,379,2012-01-14,Spring,2012,Jan,0,Saturday,Clear,0.18,0.183087,457500.0,0.187183,333,2160,2493
379,380,2012-01-15,Spring,2012,Jan,0,Sunday,Clear,0.166667,0.161625,419167.0,0.251258,284,2027,2311
380,381,2012-01-16,Spring,2012,Jan,1,Monday,Clear,0.19,0.190663,522500.0,0.231358,217,2081,2298
381,382,2012-01-17,Spring,2012,Jan,0,Tuesday,Misty,0.373043,0.364278,716087.0,0.34913,127,2808,2935
382,383,2012-01-18,Spring,2012,Jan,0,Wednesday,Clear,0.303333,0.275254,443332.9999999999,0.415429,109,3267,3376
383,384,2012-01-19,Spring,2012,Jan,0,Thursday,Clear,0.19,0.190038,497500.0,0.220158,130,3162,3292
384,385,2012-01-20,Spring,2012,Jan,0,Friday,Misty,0.2175,0.220958,450000.0,0.20275,115,3048,3163
385,386,2012-01-21,Spring,2012,Jan,0,Saturday,Misty,0.173333,0.174875,831250.0,0.222642,67,1234,1301
386,387,2012-01-22,Spring,2012,Jan,0,Sunday,Misty,0.1625,0.16225,796250.0,0.199638,196,1781,1977
387,388,2012-01-23,Spring,2012,Jan,0,Monday,Misty,0.218333,0.243058,911250.0,0.110708,145,2287,2432
388,389,2012-01-24,Spring,2012,Jan,0,Tuesday,Clear,0.3425,0.349108,835833.0000000002,0.123767,439,3900,4339
389,390,2012-01-25,Spring,2012,Jan,0,Wednesday,Clear,0.294167,0.294821,643750.0,0.161071,467,3803,4270
390,391,2012-01-26,Spring,2012,Jan,0,Thursday,Misty,0.341667,0.35605,769583.0000000001,0.0733958,244,3831,4075
391,392,2012-01-27,Spring,2012,Jan,0,Friday,Misty,0.425,0.415383,741250.0,0.342667,269,3187,3456
392,393,2012-01-28,Spring,2012,Jan,0,Saturday,Clear,0.315833,0.326379,543332.9999999999,0.210829,775,3248,4023
393,394,2012-01-29,Spring,2012,Jan,0,Sunday,Clear,0.2825,0.272721,311250.00000000006,0.24005,558,2685,3243
394,395,2012-01-30,Spring,2012,Jan,0,Monday,Clear,0.269167,0.262625,400833.0,0.215792,126,3498,3624
395,396,2012-01-31,Spring,2012,Jan,0,Tuesday,Clear,0.39,0.381317,416667.0,0.261817,324,4185,4509
396,397,2012-02-01,Spring,2012,Feb,0,Wednesday,Clear,0.469167,0.466538,507916.99999999994,0.189067,304,4275,4579
397,398,2012-02-02,Spring,2012,Feb,0,Thursday,Misty,0.399167,0.398971,672916.9999999999,0.187187,190,3571,3761
398,399,2012-02-03,Spring,2012,Feb,0,Friday,Clear,0.313333,0.309346,526667.0,0.178496,310,3841,4151
399,400,2012-02-04,Spring,2012,Feb,0,Saturday,Misty,0.264167,0.272725,779583.0000000001,0.121896,384,2448,2832
400,401,2012-02-05,Spring,2012,Feb,0,Sunday,Misty,0.265833,0.264521,687917.0000000001,0.175996,318,2629,2947
401,402,2012-02-06,Spring,2012,Feb,0,Monday,Clear,0.282609,0.296426,622174.0,0.1538,206,3578,3784
402,403,2012-02-07,Spring,2012,Feb,0,Tuesday,Clear,0.354167,0.361104,496250.0,0.147379,199,4176,4375
403,404,2012-02-08,Spring,2012,Feb,0,Wednesday,Misty,0.256667,0.266421,722917.0000000001,0.133721,109,2693,2802
404,405,2012-02-09,Spring,2012,Feb,0,Thursday,Clear,0.265,0.261988,562083.0,0.194037,163,3667,3830
405,406,2012-02-10,Spring,2012,Feb,0,Friday,Misty,0.280833,0.293558,540000.0,0.116929,227,3604,3831
406,407,2012-02-11,Spring,2012,Feb,0,Saturday,Light_rainsnow,0.224167,0.210867,731250.0,0.289796,192,1977,2169
407,408,2012-02-12,Spring,2012,Feb,0,Sunday,Clear,0.1275,0.101658,464583.0,0.409212,73,1456,1529
408,409,2012-02-13,Spring,2012,Feb,0,Monday,Clear,0.2225,0.227913,411250.0,0.167283,94,3328,3422
409,410,2012-02-14,Spring,2012,Feb,0,Tuesday,Misty,0.319167,0.333946,508750.0,0.141179,135,3787,3922
410,411,2012-02-15,Spring,2012,Feb,0,Wednesday,Clear,0.348333,0.351629,531250.0,0.1816,141,4028,4169
411,412,2012-02-16,Spring,2012,Feb,0,Thursday,Misty,0.316667,0.330162,752916.9999999999,0.091425,74,2931,3005
412,413,2012-02-17,Spring,2012,Feb,0,Friday,Clear,0.343333,0.351629,634583.0,0.205846,349,3805,4154
413,414,2012-02-18,Spring,2012,Feb,0,Saturday,Clear,0.346667,0.355425,534583.0,0.190929,1435,2883,4318
414,415,2012-02-19,Spring,2012,Feb,0,Sunday,Misty,0.28,0.265788,515833.0,0.253112,618,2071,2689
415,416,2012-02-20,Spring,2012,Feb,1,Monday,Clear,0.28,0.273391,507826.0,0.229083,502,2627,3129
416,417,2012-02-21,Spring,2012,Feb,0,Tuesday,Clear,0.287826,0.295113,594348.0,0.205717,163,3614,3777
417,418,2012-02-22,Spring,2012,Feb,0,Wednesday,Clear,0.395833,0.392667,567917.0,0.234471,394,4379,4773
418,419,2012-02-23,Spring,2012,Feb,0,Thursday,Clear,0.454167,0.444446,554583.0000000001,0.190913,516,4546,5062
419,420,2012-02-24,Spring,2012,Feb,0,Friday,Misty,0.4075,0.410971,737500.0,0.237567,246,3241,3487
420,421,2012-02-25,Spring,2012,Feb,0,Saturday,Clear,0.290833,0.255675,395833.0,0.421642,317,2415,2732
421,422,2012-02-26,Spring,2012,Feb,0,Sunday,Clear,0.279167,0.268308,410000.0,0.205229,515,2874,3389
422,423,2012-02-27,Spring,2012,Feb,0,Monday,Clear,0.366667,0.357954,490833.0,0.268033,253,4069,4322
423,424,2012-02-28,Spring,2012,Feb,0,Tuesday,Clear,0.359167,0.353525,395833.0,0.193417,229,4134,4363
424,425,2012-02-29,Spring,2012,Feb,0,Wednesday,Misty,0.344348,0.34847,804783.0000000001,0.179117,65,1769,1834
425,426,2012-03-01,Spring,2012,Mar,0,Thursday,Clear,0.485833,0.475371,615417.0,0.226987,325,4665,4990
426,427,2012-03-02,Spring,2012,Mar,0,Friday,Misty,0.353333,0.359842,657082.9999999999,0.144904,246,2948,3194
427,428,2012-03-03,Spring,2012,Mar,0,Saturday,Misty,0.414167,0.413492,621250.0,0.161079,956,3110,4066
428,429,2012-03-04,Spring,2012,Mar,0,Sunday,Clear,0.325833,0.303021,403333.0,0.334571,710,2713,3423
429,430,2012-03-05,Spring,2012,Mar,0,Monday,Clear,0.243333,0.241171,506250.0,0.228858,203,3130,3333
430,431,2012-03-06,Spring,2012,Mar,0,Tuesday,Clear,0.258333,0.255042,456667.0,0.200875,221,3735,3956
431,432,2012-03-07,Spring,2012,Mar,0,Wednesday,Clear,0.404167,0.3851,513333.0,0.345779,432,4484,4916
432,433,2012-03-08,Spring,2012,Mar,0,Thursday,Clear,0.5275,0.524604,567500.0,0.441563,486,4896,5382
433,434,2012-03-09,Spring,2012,Mar,0,Friday,Misty,0.410833,0.397083,407082.99999999994,0.4148,447,4122,4569
434,435,2012-03-10,Spring,2012,Mar,0,Saturday,Clear,0.2875,0.277767,350417.0,0.22575,968,3150,4118
435,436,2012-03-11,Spring,2012,Mar,0,Sunday,Clear,0.361739,0.35967,476957.00000000006,0.222587,1658,3253,4911
436,437,2012-03-12,Spring,2012,Mar,0,Monday,Clear,0.466667,0.459592,489167.0,0.207713,838,4460,5298
437,438,2012-03-13,Spring,2012,Mar,0,Tuesday,Clear,0.565,0.542929,617500.0000000001,0.23695,762,5085,5847
438,439,2012-03-14,Spring,2012,Mar,0,Wednesday,Clear,0.5725,0.548617,507082.9999999999,0.115062,997,5315,6312
439,440,2012-03-15,Spring,2012,Mar,0,Thursday,Clear,0.5575,0.532825,579582.9999999999,0.149883,1005,5187,6192
440,441,2012-03-16,Spring,2012,Mar,0,Friday,Misty,0.435833,0.436229,842083.0000000002,0.113192,548,3830,4378
441,442,2012-03-17,Spring,2012,Mar,0,Saturday,Misty,0.514167,0.505046,755832.9999999999,0.110704,3155,4681,7836
442,443,2012-03-18,Spring,2012,Mar,0,Sunday,Misty,0.4725,0.464,810000.0,0.126883,2207,3685,5892
443,444,2012-03-19,Spring,2012,Mar,0,Monday,Clear,0.545,0.532821,728750.0,0.162317,982,5171,6153
444,445,2012-03-20,Spring,2012,Mar,0,Tuesday,Clear,0.560833,0.538533,807917.0000000001,0.121271,1051,5042,6093
445,446,2012-03-21,Summer,2012,Mar,0,Wednesday,Misty,0.531667,0.513258,821250.0,0.0895583,1122,5108,6230
